,[x]
2019-12-01,371.962
2019-12-02,372.206
2019-12-03,0
2019-12-04,248.426
2019-12-05,0
2019-12-06,31.878
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,365.148
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-14,0
2019-12-15,0
2019-12-16,0
2019-12-17,372.401
2019-12-18,0
2019-12-19,365.295
2019-12-20,354.975
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,339.205
2019-12-30,0
2019-12-31,376.246
2020-01-01,0
2020-01-02,31.883
2020-01-03,379.214
2020-01-04,0
2020-01-05,349.523
2020-01-06,378.97
2020-01-07,351.617
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,358.383
2020-01-15,393.476
2020-01-16,0
2020-01-17,0
2020-01-18,28.47
2020-01-19,375.564
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,76.265
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,368.895
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,379.167
2020-02-03,0
2020-02-04,85.273
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,358.48
2020-02-09,0
2020-02-10,346.021
2020-02-11,386.468
2020-02-12,0
2020-02-13,253.308
2020-02-14,397.224
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,379.555
2020-02-19,368.701
2020-02-20,358.626
2020-02-21,368.36
2020-02-22,168.566
2020-02-23,0
2020-02-24,365.733
2020-02-25,0
2020-02-26,361.789
2020-02-27,368.798
2020-02-28,393.719
2020-02-29,368.945
2020-03-01,0
2020-03-02,0
2020-03-03,383.011
2020-03-04,361.692
2020-03-05,379.312
2020-03-06,0
2020-03-07,382.768
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,372.79
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,379.312
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,164.799
2020-04-01,0
2020-04-02,0
2020-04-03,117.199
2020-04-04,0
2020-04-05,124.174
2020-04-06,249.833
2020-04-07,375.857
2020-04-08,365.196
2020-04-09,396.542
2020-04-10,0
2020-04-11,31.926
2020-04-12,316.132
2020-04-13,0
2020-04-14,372.498
2020-04-15,0
2020-04-16,0
2020-04-17,281.722
2020-04-18,0
2020-04-19,193.246
2020-04-20,0
2020-04-21,0
2020-04-22,47.694
2020-04-23,0
2020-04-24,0
2020-04-25,386.32
2020-04-26,0
2020-04-27,0
2020-04-28,354.878
2020-04-29,386.564
2020-04-30,0
2020-05-01,369.14
2020-05-02,0
2020-05-03,365.294
2020-05-04,0
2020-05-05,362.228
2020-05-06,0
2020-05-07,358.382
2020-05-08,368.603
2020-05-09,368.702
2020-05-10,0
2020-05-11,0
2020-05-12,264.304
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,148.805
2020-05-17,0
2020-05-18,347.04
2020-05-19,223.842
2020-05-20,0
2020-05-21,326.841
2020-05-22,177.158
2020-05-23,0
2020-05-24,79.774
2020-05-25,0
2020-05-26,76.316
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,0
2020-07-02,0
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
