system:time_start,NDSI_Snow_Cover
"Dec 1, 2019",65.554
"Dec 2, 2019",68.973
"Dec 3, 2019",71.163
"Dec 4, 2019",81.709
"Dec 5, 2019",
"Dec 6, 2019",19.4
"Dec 7, 2019",
"Dec 8, 2019",
"Dec 9, 2019",38
"Dec 10, 2019",61.609
"Dec 11, 2019",
"Dec 12, 2019",
"Dec 13, 2019",66.668
"Dec 14, 2019",
"Dec 15, 2019",
"Dec 16, 2019",52.494
"Dec 17, 2019",68.275
"Dec 18, 2019",22.658
"Dec 19, 2019",69.867
"Dec 20, 2019",76.547
"Dec 21, 2019",
"Dec 22, 2019",
"Dec 23, 2019",
"Dec 24, 2019",
"Dec 25, 2019",
"Dec 26, 2019",
"Dec 27, 2019",64
"Dec 28, 2019",
"Dec 29, 2019",68.945
"Dec 30, 2019",
"Dec 31, 2019",70.648
"Jan 1, 2020",
"Jan 2, 2020",
"Jan 3, 2020",65.054
"Jan 4, 2020",
"Jan 5, 2020",
"Jan 6, 2020",60.425
"Jan 7, 2020",79.67
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 10, 2020",44.815
"Jan 11, 2020",
"Jan 12, 2020",
"Jan 13, 2020",
"Jan 14, 2020",71.793
"Jan 15, 2020",59.467
"Jan 16, 2020",
"Jan 17, 2020",
"Jan 18, 2020",59.403
"Jan 19, 2020",61.978
"Jan 20, 2020",
"Jan 21, 2020",
"Jan 22, 2020",
"Jan 23, 2020",66.054
"Jan 24, 2020",63.284
"Jan 25, 2020",75.637
"Jan 26, 2020",
"Jan 27, 2020",
"Jan 28, 2020",69.918
"Jan 29, 2020",
"Jan 30, 2020",59.099
"Jan 31, 2020",
"Feb 1, 2020",
"Feb 2, 2020",68.535
"Feb 3, 2020",
"Feb 4, 2020",48
"Feb 5, 2020",57.01
"Feb 6, 2020",
"Feb 7, 2020",
"Feb 8, 2020",75.875
"Feb 9, 2020",
"Feb 10, 2020",65.68
"Feb 11, 2020",69.865
"Feb 12, 2020",1.975
"Feb 13, 2020",41.919
"Feb 14, 2020",72.364
"Feb 15, 2020",
"Feb 16, 2020",
"Feb 17, 2020",64.548
"Feb 18, 2020",60.585
"Feb 19, 2020",74.842
"Feb 20, 2020",74.606
"Feb 21, 2020",72.998
"Feb 22, 2020",
"Feb 23, 2020",
"Feb 24, 2020",67.012
"Feb 25, 2020",52.357
"Feb 26, 2020",74.075
"Feb 27, 2020",74.101
"Feb 28, 2020",73.688
"Feb 29, 2020",74.314
"Mar 1, 2020",
"Mar 2, 2020",
"Mar 3, 2020",65.723
"Mar 4, 2020",76.175
"Mar 5, 2020",70.564
"Mar 6, 2020",64.57
"Mar 7, 2020",0
"Mar 8, 2020",
"Mar 9, 2020",
"Mar 10, 2020",
"Mar 11, 2020",
"Mar 12, 2020",
"Mar 13, 2020",
"Mar 14, 2020",
"Mar 15, 2020",
"Mar 16, 2020",75.971
"Mar 17, 2020",
"Mar 18, 2020",
"Mar 19, 2020",
"Mar 20, 2020",
"Mar 21, 2020",
"Mar 22, 2020",66.709
"Mar 23, 2020",
"Mar 24, 2020",
"Mar 25, 2020",
"Mar 26, 2020",68.718
"Mar 27, 2020",
"Mar 28, 2020",45.6
"Mar 29, 2020",
"Mar 30, 2020",25
"Mar 31, 2020",72.027
"Apr 1, 2020",63.533
"Apr 2, 2020",
"Apr 3, 2020",70.906
"Apr 4, 2020",
"Apr 5, 2020",
"Apr 6, 2020",40.151
"Apr 7, 2020",82.393
"Apr 8, 2020",83.91
"Apr 9, 2020",79.521
"Apr 10, 2020",73.459
"Apr 11, 2020",70.578
"Apr 12, 2020",62.257
"Apr 13, 2020",13.294
"Apr 14, 2020",61.995
"Apr 15, 2020",
"Apr 16, 2020",
"Apr 17, 2020",67.543
"Apr 18, 2020",59.525
"Apr 19, 2020",68.161
"Apr 20, 2020",18.375
"Apr 21, 2020",84.524
"Apr 22, 2020",42.131
"Apr 23, 2020",
"Apr 24, 2020",29.712
"Apr 25, 2020",70.954
"Apr 26, 2020",
"Apr 27, 2020",55.509
"Apr 28, 2020",77.733
"Apr 29, 2020",72.262
"Apr 30, 2020",
"May 1, 2020",74.112
"May 2, 2020",
"May 3, 2020",61.74
"May 4, 2020",
"May 5, 2020",62.008
"May 6, 2020",
"May 7, 2020",53.211
"May 8, 2020",49.135
"May 9, 2020",41.81
"May 10, 2020",
"May 11, 2020",
"May 12, 2020",16.74
"May 13, 2020",
"May 14, 2020",0
"May 15, 2020",
"May 16, 2020",0.416
"May 17, 2020",
"May 18, 2020",0
"May 19, 2020",0
"May 20, 2020",
"May 21, 2020",0
"May 22, 2020",0
"May 23, 2020",
"May 24, 2020",0
"May 25, 2020",0
"May 26, 2020",0
"May 27, 2020",0
"May 28, 2020",0
"May 29, 2020",0
"May 30, 2020",0
"May 31, 2020",0
"Jun 1, 2020",0
"Jun 2, 2020",0
"Jun 3, 2020",0
"Jun 4, 2020",0
"Jun 5, 2020",0
"Jun 6, 2020",
"Jun 7, 2020",0
"Jun 8, 2020",0
"Jun 9, 2020",0
"Jun 10, 2020",0
"Jun 11, 2020",0
"Jun 12, 2020",0
"Jun 13, 2020",0
"Jun 14, 2020",0
"Jun 15, 2020",0
"Jun 16, 2020",0
"Jun 17, 2020",0
"Jun 18, 2020",0
"Jun 19, 2020",0
"Jun 20, 2020",0
"Jun 21, 2020",0
"Jun 22, 2020",0
"Jun 23, 2020",0
"Jun 24, 2020",0
"Jun 25, 2020",0.016
"Jun 26, 2020",0
"Jun 27, 2020",0
"Jun 28, 2020",
"Jun 29, 2020",0
"Jun 30, 2020",0
"Jul 1, 2020",0
"Jul 2, 2020",0
"Jul 3, 2020",
"Jul 4, 2020",0
"Jul 5, 2020",0
"Jul 6, 2020",0
"Jul 7, 2020",0
"Jul 8, 2020",0
"Jul 9, 2020",0
"Jul 10, 2020",0
"Jul 11, 2020",0
"Jul 12, 2020",0
"Jul 13, 2020",0
"Jul 14, 2020",0
"Jul 15, 2020",
"Jul 16, 2020",
"Jul 17, 2020",0
"Jul 18, 2020",0
"Jul 19, 2020",
"Jul 20, 2020",0
"Jul 21, 2020",0
"Jul 22, 2020",0
"Jul 23, 2020",0
"Jul 24, 2020",
"Jul 25, 2020",
"Jul 26, 2020",0
"Jul 27, 2020",
"Jul 28, 2020",0
"Jul 29, 2020",0
"Jul 30, 2020",0
