system:time_start,NDSI_Snow_Cover
1-Dec-19,61.95
2-Dec-19,59.394
3-Dec-19,54.345
4-Dec-19,65.417
5-Dec-19,
6-Dec-19,67.846
7-Dec-19,
8-Dec-19,
9-Dec-19,
,61.229
,
,
,
,
,
,
,53.355
,
,50.704
,64.045
,49
,
,
,
,
,
,
,
,71.03
,
,69.673
1-Jan-20,
2-Jan-20,54.055
3-Jan-20,59.534
4-Jan-20,
5-Jan-20,67.453
6-Jan-20,55.558
7-Jan-20,73.187
8-Jan-20,
9-Jan-20,
10-Jan-20,
11-Jan-20,
12-Jan-20,
13-Jan-20,
14-Jan-20,61.519
15-Jan-20,52.491
16-Jan-20,
17-Jan-20,
18-Jan-20,54
19-Jan-20,58.2
20-Jan-20,
21-Jan-20,
22-Jan-20,
23-Jan-20,61
24-Jan-20,57.137
25-Jan-20,
26-Jan-20,
27-Jan-20,
28-Jan-20,62.493
29-Jan-20,
30-Jan-20,
31-Jan-20,
1-Feb-20,
2-Feb-20,52.143
3-Feb-20,
4-Feb-20,54.899
5-Feb-20,
6-Feb-20,
7-Feb-20,
8-Feb-20,74.103
9-Feb-20,
,57.685
,56.906
,
,51.927
,50.437
,
,
,
,51.054
,59.717
,61.685
,55.708
,55.9
,
,53.6
,
,58.375
,55.302
,55.319
,57.572
1-Mar-20,
2-Mar-20,
3-Mar-20,51.44
4-Mar-20,66.13
5-Mar-20,59.123
6-Mar-20,
7-Mar-20,67.877
8-Mar-20,
9-Mar-20,
,
,
,
,
,
,
,69.867
,
,
,
,
,
,
,
,
,
,55.716
,
,
,
,
,58.969
1-Apr-20,68
2-Apr-20,
3-Apr-20,66.546
4-Apr-20,
5-Apr-20,61.677
6-Apr-20,63.179
7-Apr-20,71.105
8-Apr-20,78.498
9-Apr-20,65.736
10-Apr-20,74
11-Apr-20,62.962
12-Apr-20,61.536
13-Apr-20,
14-Apr-20,63.025
15-Apr-20,
16-Apr-20,
17-Apr-20,64.063
18-Apr-20,57
19-Apr-20,64.313
20-Apr-20,
21-Apr-20,
22-Apr-20,64.176
23-Apr-20,
24-Apr-20,
25-Apr-20,59.771
26-Apr-20,
27-Apr-20,
28-Apr-20,80.561
29-Apr-20,73.761
30-Apr-20,
1-May-20,76.332
2-May-20,
3-May-20,78.407
4-May-20,46
5-May-20,79.641
6-May-20,
7-May-20,65.143
8-May-20,71.061
9-May-20,55.524
,
,
,64.079
,
,
,
,27.725
,
,29.526
,36.811
,
,34.277
,22.713
,
,11.32
,0
,2.617
,
,8.667
,0
,0
,
1-Jun-20,0
2-Jun-20,0
3-Jun-20,0
4-Jun-20,0
5-Jun-20,0
6-Jun-20,
7-Jun-20,0
8-Jun-20,0
9-Jun-20,0
10-Jun-20,0
11-Jun-20,0
12-Jun-20,0
13-Jun-20,0
14-Jun-20,0
15-Jun-20,0
16-Jun-20,0
17-Jun-20,0
18-Jun-20,0
19-Jun-20,0
20-Jun-20,0
21-Jun-20,0
22-Jun-20,0
23-Jun-20,0
24-Jun-20,0
25-Jun-20,0
26-Jun-20,0
27-Jun-20,0
28-Jun-20,
29-Jun-20,0
30-Jun-20,0
1-Jul-20,0
2-Jul-20,0
3-Jul-20,
4-Jul-20,
5-Jul-20,
6-Jul-20,
7-Jul-20,0
8-Jul-20,0
9-Jul-20,0
10-Jul-20,0
11-Jul-20,0
12-Jul-20,0
13-Jul-20,0
14-Jul-20,
15-Jul-20,0
16-Jul-20,
17-Jul-20,
18-Jul-20,0
19-Jul-20,
20-Jul-20,0
21-Jul-20,0
22-Jul-20,
23-Jul-20,
24-Jul-20,
25-Jul-20,
26-Jul-20,0
27-Jul-20,
28-Jul-20,
29-Jul-20,0
30-Jul-20,0
