Site,date,swe (mm)
Skyway Open,2019-12-19 16:00:00,154.5
Skyway Open,2020-01-22 14:55:00,242.5
Skyway Open,2020-01-31 12:25:00,156.5
Skyway Open,2020-02-12 12:52:00,218.0
Skyway Open,2020-02-19 13:40:00,234.5
Skyway Open,2020-02-25 15:00:00,209.5
Skyway Open,2020-03-04 15:50:00,272.0
Skyway Open,2020-03-06 17:05:00,272.0
Skyway Open,2020-03-12 15:20:00,266.5
Skyway Open,2020-03-21 10:06:00,335.0
Skyway Open,2020-03-28 09:00:00,381.0
Skyway Open,2020-03-28 16:30:00,396.5
Skyway Open,2020-04-06 06:50:00,402.0
Skyway Open,2020-04-06 16:00:00,490.0
Skyway Open,2020-04-19 16:00:00,431.5
Skyway Open,2020-04-21 05:53:00,365.0
Skyway Open,2020-04-21 16:26:00,359.0
Skyway Open,2020-04-22 15:12:00,421.5
Skyway Open,2020-05-03 06:02:00,344.5
Skyway Open,2020-05-03 16:10:00,315.0
