Site,date,swe (mm)
Skyway Tree,2020-01-22 16:55:00,186.5
Skyway Tree,2020-01-31 14:23:00,94.5
Skyway Tree,2020-02-12 14:30:00,208.5
Skyway Tree,2020-02-19 15:00:00,185.5
Skyway Tree,2020-02-25 16:40:00,183.0
Skyway Tree,2020-03-06 18:15:00,260.0
Skyway Tree,2020-03-12 13:45:00,223.5
Skyway Tree,2020-03-21 11:55:00,239.5
Skyway Tree,2020-03-28 07:15:00,251.0
Skyway Tree,2020-03-28 14:30:00,334.5
Skyway Tree,2020-04-01 09:00:00,338.5
Skyway Tree,2020-04-01 15:35:00,347.5
Skyway Tree,2020-04-18 12:17:00,287.5
Skyway Tree,2020-04-21 07:26:00,376.0
Skyway Tree,2020-04-21 15:07:00,295.0
Skyway Tree,2020-04-22 16:18:00,328.0
Skyway Tree,2020-05-03 06:53:00,199.5
Skyway Tree,2020-05-03 17:32:00,206.5
