,[x]
2019-12-01,"1,006.336"
2019-12-02,"1,108.766"
2019-12-03,"1,144.204"
2019-12-04,"1,085.745"
2019-12-05,0
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,15.965
2019-12-10,253.051
2019-12-11,0
2019-12-12,0
2019-12-13,315.57
2019-12-14,0
2019-12-15,0
2019-12-16,189.807
2019-12-17,903.433
2019-12-18,0
2019-12-19,985.415
2019-12-20,"1,048.07"
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,496.943
2019-12-30,0
2019-12-31,"1,087.938"
2020-01-01,0
2020-01-02,0
2020-01-03,"1,119.77"
2020-01-04,0
2020-01-05,0
2020-01-06,"1,004.007"
2020-01-07,"1,070.659"
2020-01-08,0
2020-01-09,0
2020-01-10,251.79
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,"1,043.155"
2020-01-15,"1,165.76"
2020-01-16,0
2020-01-17,0
2020-01-18,"1,031.257"
2020-01-19,"1,106.238"
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,375.708
2020-01-24,894.52
2020-01-25,501.42
2020-01-26,0
2020-01-27,0
2020-01-28,"1,130.426"
2020-01-29,0
2020-01-30,473.951
2020-01-31,0
2020-02-01,0
2020-02-02,"1,161.966"
2020-02-03,0
2020-02-04,0
2020-02-05,248.262
2020-02-06,0
2020-02-07,0
2020-02-08,"1,081.707"
2020-02-09,0
2020-02-10,972.625
2020-02-11,"1,113.149"
2020-02-12,0
2020-02-13,148.918
2020-02-14,838.616
2020-02-15,0
2020-02-16,0
2020-02-17,110.22
2020-02-18,"1,144.01"
2020-02-19,0
2020-02-20,"1,126.585"
2020-02-21,"1,112.271"
2020-02-22,0
2020-02-23,0
2020-02-24,525.452
2020-02-25,442.387
2020-02-26,959.963
2020-02-27,"1,144.931"
2020-02-28,945.735
2020-02-29,561.51
2020-03-01,0
2020-03-02,0
2020-03-03,"1,129.895"
2020-03-04,"1,016.337"
2020-03-05,"1,111.884"
2020-03-06,457.3
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,"1,085.552"
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,404.516
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,"1,063.321"
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,"1,136.563"
2020-04-01,104.236
2020-04-02,0
2020-04-03,"1,042.912"
2020-04-04,0
2020-04-05,0
2020-04-06,156.026
2020-04-07,"1,092.901"
2020-04-08,"1,115.535"
2020-04-09,"1,128.33"
2020-04-10,704.002
2020-04-11,"1,146.391"
2020-04-12,949.983
2020-04-13,149.062
2020-04-14,898.878
2020-04-15,0
2020-04-16,0
2020-04-17,905.628
2020-04-18,893.74
2020-04-19,885.453
2020-04-20,15.961
2020-04-21,280.518
2020-04-22,390.122
2020-04-23,0
2020-04-24,136.169
2020-04-25,"1,101.603"
2020-04-26,0
2020-04-27,707.068
2020-04-28,889.181
2020-04-29,967.493
2020-04-30,0
2020-05-01,855.282
2020-05-02,0
2020-05-03,558.752
2020-05-04,0
2020-05-05,770.303
2020-05-06,0
2020-05-07,742.709
2020-05-08,776.291
2020-05-09,719.338
2020-05-10,0
2020-05-11,0
2020-05-12,469.989
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
